issn_l,citescore_analogo
2630-4953,3.67
2640-2645,0.56
2595-7651,0.1
2643-4008,0.2
2596-1403,0.18
2675-3375,0.16
2674-8169,0.29
2675-6218,0.2
2675-4711,0.07
2675-7451,0.08
2674-9432,0.12
2673-7647,2.11
2674-8703,0.13
2675-519X,0.23
2673-7515,2.49
2674-5976,0.13
2673-5318,1.43
2675-4916,0.22
2674-7081,0.08
2675-8008,0.16
2675-2999,0.13
2674-9009,0.04
2673-4125,1.57
2674-7189,0.15
2674-9270,0.08
2673-4184,1.21
2673-5601,2.1
2675-3626,0.22
2674-1334,5.51
2675-3065,0.0
2674-1024,2.78
2673-3846,1.88
2675-4673,0.01
2675-7222,0.0
2675-9616,0.12
2675-1003,0.0
2675-1933,0.0
2675-1526,0.19
2673-706X,3.18
2675-3359,0.06
2675-4398,0.03
2674-0710,1.4
2674-709X,0.0
2675-3006,0.05
2675-4177,0.0
2764-0159,0.05
2772-9508,4.7
2764-1317,0.11
2766-2276,0.41
2772-3747,1.93
2763-9134,0.06
2764-1589,0.27
2763-583X,0.04
2763-5724,0.22
2724-5683,2.04
2764-0884,0.11
2764-0973,0.03
2675-9780,0.74
2724-606X,1.16
2731-4561,0.59
2694-2461,4.51
2764-3417,0.86
2710-1452,0.42
2694-2445,3.21
2724-6329,1.44
2702-4288,1.74
2763-8898,0.09
2763-8405,0.16
2731-5533,2.4
2768-6655,2.21
2763-6119,0.14
2676-0029,0.31
2764-0337,0.02
2763-7824,0.28
2683-7404,0.04
2764-6645,0.0
2763-8030,0.24
2763-5783,0.03
2771-4683,2.87
2764-5576,0.09
2764-1422,0.1
2694-1724,0.27
2763-9010,0.0
2766-0664,0.05
2692-4706,0.2
2965-1476,0.01
2949-8228,2.55
2965-6613,0.08
3005-0774,0.92
2965-6672,0.01
2966-2931,0.1
2949-8244,2.77
2966-1668,0.11
3065-8993,0.58
2950-1946,4.17
2950-1997,1.31
2949-8295,3.63
2966-2249,0.06
2965-1980,0.02
2965-0968,0.17
2831-3267,0.92
2828-9269,0.23
2813-0413,1.8
3085-6124,0.14
2965-1557,0.14
2773-093X,1.46
2832-8280,1.23
3033-3318,1.07
2832-4463,0.29
2788-6492,0.17
2833-2237,0.45
2941-198X,7.77
3029-133X,3.65
2965-0356,0.01
2813-3064,1.23
2965-1662,0.09
3064-9765,0.65
2977-3504,1.78
3029-1232,0.82
2965-0771,0.03
2966-0408,0.19
2996-0975,0.28
2966-3806,0.03
2815-9241,3.29
3071-2521,0.0
